smiles,mw,logp,hbd,hba,tpsa,rot_bonds,rings,arom_rings,stereocenters,qed,lipinski,veber,egan,scaffold
Cc1ccccc2cc(cc1C(=O)NCCN)N(CC1CCO1)C2=O,341.41,1.557,2,4,84.66,5,3,1,1,0.8511,True,True,True,O=C1c2cccccccc(c2)N1CC1CCO1
CCNC(=O)C(C1=CC=CC=CC=C1)N(C)CC,246.35,2.051,1,2,32.34,5,1,0,1,0.805,True,True,True,C1=CC=CC=CC=C1
CCN(C)C(=O)N(CCN1C(=O)NCC1C)CC(C)C,284.4,1.43,1,2,55.89,6,1,0,1,0.802,True,True,True,O=C1NCCN1
CCOC1=NC(CN(C(=O)c2ccc3cc2-3)C2=CC=C2)=CC(C)=NC=CS1,377.47,4.518,0,5,54.26,5,4,0,0,0.7698,True,True,True,O=C(c1ccc2cc1-2)N(CC1=CC=NC=CSC=N1)C1=CC=C1
CC1CC(=O)NCC(=O)N2CCC3=CC=CC1=CC=CC=CC2=C3,322.41,2.794,1,2,49.41,0,5,0,1,0.7454,True,True,True,O=C1CCC2=CC=CC=CC3=CC(=CC=C2)CCN3C(=O)CN1
CC1CC(C(=O)N2CCCN3CCCC(C)(OCC2)C3=O)C1,308.42,1.663,0,3,49.85,1,3,0,1,0.7401,True,True,True,O=C(C1CCC1)N1CCCN2CCCC(OCC1)C2=O
CC1=CC=CC=C2C=C(C)C=C(C=CC=CC=C1)NS2(=O)=O,313.42,3.818,1,2,46.17,0,2,0,0,0.7388,True,True,True,O=S1(=O)NC2=CC=CC1=CC=CC=CC=CC=CC=C2
O=C(C(=O)N1CCC(COC2=CC=C2)CC1)N1CCCC1,290.36,1.318,0,3,49.85,3,3,0,0,0.7366,True,True,True,O=C(C(=O)N1CCC(COC2=CC=C2)CC1)N1CCCC1
COC1=C(C)C=Cc2ccc1[nH]c2=O,189.21,1.779,1,2,42.09,1,3,1,0,0.7312,True,True,True,O=c1[nH]c2ccc1C=CC=C2
COC1=CC=CC=C(N2CCCN3CCC(CN(CCO)C3=O)C2=O)C=CC=CC(C)=C1,439.56,2.998,1,4,73.32,4,3,0,1,0.731,True,True,True,O=C1NCC2CCN1CCCN(C1=CC=CC=CC=CC=CC=C1)C2=O
CCCCN(CCN1CCCC1=O)C(=O)C1=CC=CC=CC=C1,314.43,2.846,0,2,40.62,7,2,0,0,0.7248,True,True,True,O=C(NCCN1CCCC1=O)C1=CC=CC=CC=C1
Cc1ccccc2c(ccn1)C1CN(CCN)CCN3CCC(CO2)C(C)N(CCCC3=O)C1,467.66,2.584,1,6,74.93,2,5,1,4,0.7207,True,True,True,O=C1CCCN2CC3CCN1CCNCC(C2)c1ccncccccc1OC3
CCC(=O)N1CCN2CCCN(CCCCNC(=O)C1)CC2=O,324.43,-0.331,1,4,72.96,1,2,0,1,0.7168,True,True,True,O=C1CNCCN2CCCN(CCCCN1)CC2=O
O=C(NCCN1CC1)C1=CC=CC=CC2=NC=C(C2)C(Cl)=NC=CC=C(F)C=C1,412.9,3.76,1,4,56.83,4,3,0,0,0.7146,True,True,True,O=C(NCCN1CC1)C1=CC=CC=CC2=NC=C(C=NC=CC=CC=C1)C2
CCC(=O)N1CCC(C)(CN2CC(OC3=C(C)C=CC=CC=C3)C2=O)C1,356.47,2.819,0,3,49.85,5,3,0,2,0.7119,True,True,True,O=C1C(OC2=CC=CC=CC=C2)CN1CC1CCNC1
CCC(CC1CN1)N1CC(=O)N2CCN(CC2)C1=O,266.34,-0.293,1,3,65.8,4,4,0,2,0.7109,True,True,True,O=C1CN(CCC2CN2)C(=O)N2CCN1CC2
CCCCN1CC2C(=O)N(CCN(C)C3CCN(CC1=O)C(=O)NC3)C2C,379.51,0.191,1,4,76.2,3,4,0,3,0.7106,True,True,True,O=C1CN2CCC(CNC2=O)NCCN2CC(CN1)C2=O
CCCCN(CC1=CC=C1)C(=O)CCCN1C(=O)CCCNC1=O,333.43,2.224,1,3,69.72,9,2,0,0,0.7033,True,True,True,O=C(CCCN1C(=O)CCCNC1=O)NCC1=CC=C1
CCC(CCC(C)C)N1C(=O)CCCNC(=O)NC2=CC=C2N(C)CCOC2=CC=C21,428.58,3.634,2,4,73.91,5,3,0,1,0.7013,True,True,True,O=C1CCCNC(=O)NC2=CC=C2NCCOC2=CC=C2N1
O=C1C2=CC3=C4C=CCNCC3=CC=CC=CC=CC(=C4)CN12,302.38,2.717,1,2,32.11,0,4,0,0,0.6978,True,True,True,O=C1C2=CC3=C4C=CCNCC3=CC=CC=CC=CC(=C4)CN12
CN1CCCC2(CCC2)C(=O)NC2=CC=CC=C(C=N1)C=C(F)C=CC=C2,367.47,4.33,1,3,44.7,0,3,0,0,0.6925,True,True,True,O=C1NC2=CC=CC=C(C=CC=CC=C2)C=NNCCCC12CCC2
CC1CSCCNCC(=O)N2CCN(C(=O)C3=NN=N3)CC2CC(CCCC(C)(C)C)C1,464.68,3.39,1,7,89.73,4,3,0,3,0.6905,True,True,True,O=C(C1=NN=N1)N1CCN2C(=O)CNCCSCCCCCC2C1
CCC(=O)N1CCN2CCCCN3CCCCCCC(CC3C2=O)NC(=O)c2cccc(c2)C1,468.64,3.184,1,4,72.96,1,4,1,2,0.6872,True,True,True,O=C1NC2CCCCCCN3CCCCN(CCNCc4cccc1c4)C(=O)C3C2
CN1CC2CCCN3CCC(C)(CN(CC2)C1=O)C1CC1C3=O,319.45,2.029,0,2,43.86,0,4,0,4,0.6856,True,True,True,O=C1NCC2CCCN3CCC(CN1CC2)C1CC1C3=O
COC1=C(C2CCCN3CC4=CC=C(C2)C(=CC=CC=CC=C4)NC(=O)CNCC3=O)C=C1,445.56,3.224,2,4,70.67,2,4,0,1,0.6848,True,True,True,O=C1CNCC(=O)N2CCCC(C3=CC=C3)CC3=CC=C(C=CC=CC=CC=C3N1)C2
CNC(=O)N1C2=CC=C(CC(CN)CCN3CC3=O)C=C1C=CC=CC=CC=C2,392.5,2.771,2,3,78.44,6,3,0,1,0.6825,True,True,True,O=C1CN1CCCCC1=CC=C2C=CC=CC=CC=CC(=C1)N2
O=C1Nc2sccc2C2=CC=CC=CC(=C2)CN2CCN1CCN(CC1CCC1)C(=O)C2=O,464.59,3.502,1,4,72.96,2,5,1,0,0.6812,True,True,True,O=C1Nc2sccc2C2=CC=CC=CC(=C2)CN2CCN1CCN(CC1CCC1)C(=O)C2=O
CCCN1CC(=O)NCCN2C(=O)C(=O)NC3=CC=CC=C(OC)C=CC2=CC1=C3,410.47,1.095,2,5,90.98,3,3,0,0,0.6802,True,True,True,O=C1CNC2=CC3=CC=CC=CC=CC(=C2)N(CCN1)C(=O)C(=O)N3
COC1=C2CCCC(=C1)C=C1C=C2N1,187.24,2.382,1,2,21.26,1,4,0,0,0.6802,True,True,True,C1=C2C=C3C=C(N3)C(=C1)CCC2
CCC1C(=O)N2CCN(C(=O)C(C)C)C(=O)N1C(CCCC(C)C)C2=O,365.47,2.249,0,4,78.0,6,3,0,2,0.6765,True,True,True,O=C1NCCN2C(=O)CN1CC2=O
CC(C)CC(=O)N(C)CC(=O)N1COC2=Cc3cc(C4=NC=CC=CC=C4)ccc3C=NC1=C2,456.55,4.051,0,5,74.57,5,4,1,0,0.6709,True,True,True,C1=CC=CC(c2ccc3c(c2)C=C2C=C(N=C3)NCO2)=NC=C1
CCN1CCN2C(=O)NCc3cccc1ccc1c4cc(cc(c3)OC(C)O4)CCN1C(=O)C2C,476.58,3.695,1,5,74.35,1,7,1,2,0.6693,True,True,True,O=C1NCc2cccc3ccc4c5cc(cc(c2)OCO5)CCN4C(=O)CN1CCN3
CCCC1C(C(C)OC)C2CN3CC4CC(CCC(CC)C3CN4)N3CCN1CCCN2C3=O,475.72,2.853,1,5,51.29,5,7,0,10,0.6628,True,True,True,O=C1N2CCN3CCCN1C(CC3)CN1CC3CC2CCCC1CN3
Cc1ccc(C)ncccc(C2CC3CC=CCCN4CC2C(CCCCN3)C4=O)c1,419.61,4.863,1,3,45.23,1,4,1,4,0.6611,True,True,True,O=C1C2CCCCNC3CC=CCCN1CC2C(c1cccccnccc1)C3
CCN1CCNC(=O)N2CC(C)CC3(C)CC4CC5CC6CCNC65C(=O)N4CCCC123,443.64,2.229,2,4,67.92,1,6,0,7,0.6522,True,True,True,O=C1NCCNC23CCCN4C(=O)C56NCCC5CC6CC4CC2CCCN13
CCCCN(CC(=O)NC(C)C)C(=O)CS(=O)(=O)C1=CC=CC=CC(C)=C1,394.54,2.511,1,4,83.55,9,1,0,0,0.6512,True,True,True,C1=CC=CC=CC=C1
