Scaffold SMILES,Count,Fraction (%)
C1=CC=CC=CC=C1,2,2.1
O=C1c2cccccccc(c2)N1CC1CCO1,1,1.1
O=C1NCCN1,1,1.1
O=C(c1ccc2cc1-2)N(CC1=CC=NC=CSC=N1)C1=CC=C1,1,1.1
O=C1CCC2=CC=CC=CC3=CC(=CC=C2)CCN3C(=O)CN1,1,1.1
O=C(C1CCC1)N1CCCN2CCCC(OCC1)C2=O,1,1.1
O=S1(=O)NC2=CC=CC1=CC=CC=CC=CC=CC=C2,1,1.1
O=C(C(=O)N1CCC(COC2=CC=C2)CC1)N1CCCC1,1,1.1
O=c1[nH]c2ccc1C=CC=C2,1,1.1
O=C1NCC2CCN1CCCN(C1=CC=CC=CC=CC=CC=C1)C2=O,1,1.1
O=C(NCCN1CCCC1=O)C1=CC=CC=CC=C1,1,1.1
O=C1CCCN2CC3CCN1CCNCC(C2)c1ccncccccc1OC3,1,1.1
O=C1CNCCN2CCCN(CCCCN1)CC2=O,1,1.1
O=C(NCCN1CC1)C1=CC=CC=CC2=NC=C(C=NC=CC=CC=C1)C2,1,1.1
O=C1C(OC2=CC=CC=CC=C2)CN1CC1CCNC1,1,1.1
O=C1CN(CCC2CN2)C(=O)N2CCN1CC2,1,1.1
O=C1CN2CCC(CNC2=O)NCCN2CC(CN1)C2=O,1,1.1
O=C(CCCN1C(=O)CCCNC1=O)NCC1=CC=C1,1,1.1
O=C1CCCNC(=O)NC2=CC=C2NCCOC2=CC=C2N1,1,1.1
O=C1C2=CC3=C4C=CCNCC3=CC=CC=CC=CC(=C4)CN12,1,1.1
